Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
frame_link,-0.0038515,4.4248E-18,-0.027391,0,0,0,0.072357,6.2521E-05,4.9377E-22,-1.5757E-06,8.1721E-05,-3.078E-21,2.1914E-05,0,0,0,0,0,0,package://hook2/meshes/frame_link.STL,0.68627,0.65882,0.63922,1,0,0,0,0,0,0,package://hook2/meshes/frame_link.STL,,frame-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
bar_link,-0.0032293,3.5109E-19,0.023598,0,0,0,0.020869,5.0764E-06,-5.6348E-24,6.3267E-07,4.8336E-06,2.2676E-26,5.3977E-07,0,0,0,0,0,0,package://hook2/meshes/bar_link.STL,0.68627,0.65882,0.63922,1,0,0,0,0,0,0,package://hook2/meshes/bar_link.STL,,bar-1,坐标系2,基准轴1,bar_joint,revolute,0.01786,0,-0.0645,0,0,0,frame_link,0,1,0,0,0,1.57,2.8,,,,,,,,
