Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
door_frame,-0.0675064873554519,-0.0254111733586616,-0.0813698389925076,0,0,0,833.452860960001,202.158086674609,2.4155850764665E-14,1.76617856733716,128.434832493651,1.22340140027669E-15,224.739807072642,0,0,0,0,0,0,package://door/meshes/door_frame.STL,0.686274509803922,0.658823529411765,0.63921568627451,1,0,0,0,0,0,0,package://door/meshes/door_frame.STL,,door_frame-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
door_link,-0.358947527129936,-0.0264111733586614,-1.21569421196455E-14,0,0,0,135.668379736162,13.7693077301722,1.83679966339951E-15,9.56179579958416E-15,6.29363601617103,3.20344314519738E-18,20.030458496389,0,0,0,0,0,0,package://door/meshes/door_link.STL,0.686274509803922,0.658823529411765,0.63921568627451,1,0,0,0,0,0,0,package://door/meshes/door_link.STL,,door-1,Origin_joint_door,Axis_joint_door,joint_door,revolute,0.3171,-0.38,0,1.5708,0,-0.0051695,door_frame,0,1,0,0,0,1.57,4.71,,,,,,,,
button_link,-8.32667268468867E-17,4.16333634234434E-17,0.0399978620922186,0,0,0,2.7826870557472,0.00322327917290718,1.84342162591118E-19,-3.59141969635823E-19,0.00322327917290718,3.98105485209521E-19,0.00347835881968401,0,0,0,0,0,0,package://door/meshes/button_link.STL,0.686274509803922,0.658823529411765,0.63921568627451,1,0,0,0,0,0,0,package://door/meshes/button_link.STL,,按钮-1,Origin_joint_button,Axis_joint_button,joint_button,prismatic,-0.1555,-0.026411,0.0089093,0,0,-0.84248,door_link,0,0,1,0,0,0,0.05,,,,,,,,
handle_link,0.0306818497259087,1.73472347597681E-17,0.0899538223660534,0,0,0,1.977892900921,0.00681440077606528,-3.63636124621885E-18,-0.00340118542333556,0.0115267131102082,-2.19847401459854E-18,0.00521033768611408,0,0,0,0,0,0,package://door/meshes/handle_link.STL,0.686274509803922,0.658823529411765,0.63921568627451,1,0,0,0,0,0,0,package://door/meshes/handle_link.STL,,把手-1,Origin_joint_bar,Axis_joint_bar,joint_bar,revolute,-0.5955,-0.026411,0,0,0,0.015221,door_link,0,0,1,0,0,0,1.57,,,,,,,,
