Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.038059,3.6627E-07,0.030909,0,0,0,0.091619,0.00015175,-1.4217E-09,3.0858E-05,0.00020773,1.3869E-09,5.6672E-05,0,0,0,0,0,0,package://安全卡扣.SLDASM/meshes/base_link.STL,0.65098,0.61961,0.58824,1,0,0,0,0,0,0,package://安全卡扣.SLDASM/meshes/base_link.STL,,零件1-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
bar_Link,-0.0036666,-6.5586E-10,0.031652,0,0,0,0.03889,1.4254E-05,-9.6088E-14,3.1646E-06,1.494E-05,7.2379E-13,1.23E-06,0,0,0,0,0,0,package://安全卡扣.SLDASM/meshes/bar_Link.STL,0.65098,0.61961,0.58824,1,0,0,0,0,0,0,package://安全卡扣.SLDASM/meshes/bar_Link.STL,,零件2-1,坐标系2,基准轴1,joint_bar,revolute,0,0,0,0,0.0080962,0,base_link,0,1,0,0,0,1.57,2.35,,,,,,,,
